regiao,UF,municipio,populacao,frota total
NE,BA,pindai,16308,3447
NE,BA,pindobacu,20048,4053
NE,BA,pintadas,10353,2592
NE,BA,pirai do norte,10050,2549
NE,BA,piripa,10253,2302
NE,BA,piritiba,25162,3932
NE,BA,planaltino,9415,1578
NE,BA,planalto,26581,4731
NE,BA,pocoes,46885,14809
NE,BA,pojuca,40401,11686
NE,BA,ponto novo,14729,3719
NE,BA,porto seguro,152529,54746
NE,BA,potiragua,6623,1554
NE,BA,prado,28214,5835
NE,BA,presidente dutra,15180,3965
NE,BA,presidente janio quadros,12028,1684
NE,BA,presidente tancredo neves,28272,7477
NE,BA,queimadas,25428,5390
NE,BA,quijingue,27672,3191
NE,BA,quixabeira,8939,2332
NE,BA,rafael jambeiro,22643,3658
NE,BA,remanso,41324,9392
NE,BA,retirolandia,14588,4449
NE,BA,riachao das neves,22330,3328
NE,BA,riachao do jacuipe,33498,11067
NE,BA,riacho de santana,35757,7545
NE,BA,ribeira do amparo,14631,2251
NE,BA,ribeira do pombal,54097,18304
NE,BA,ribeirao do largo,4896,908
NE,BA,rio de contas,12878,4080
NE,BA,rio do antonio,15521,3119
NE,BA,rio do pires,11672,3735
NE,BA,rio real,41209,10973
NE,BA,rodelas,9548,2352
NE,BA,ruy barbosa,30900,7579
NE,BA,salinas da margarida,16047,1379
NE,BA,salvador,2900319,974337
NE,BA,santa barbara,20971,4530
NE,BA,santa brigida,13917,2473
NE,BA,santa cruz cabralia,28058,7010
NE,BA,santa cruz da vitoria,6241,636
NE,BA,santa ines,10583,1811
NE,BA,santaluz,37704,8988
NE,BA,santa luzia,12308,1570
NE,BA,santa maria da vitoria,39707,14681
NE,BA,santana,26792,7738
NE,BA,santanopolis,8987,1740
NE,BA,santa rita de cassia,28613,4577
NE,BA,santa terezinha,10520,1763
NE,BA,santo amaro,60190,11568
NE,BA,santo antonio de jesus,103204,56914
NE,BA,santo estevao,53666,19766
NE,BA,sao desiderio,34764,8041
NE,BA,sao domingos,9085,2303
NE,BA,sao felix,14784,2815
NE,BA,sao felix do coribe,15543,6244
NE,BA,sao felipe,21083,6608
NE,BA,sao francisco do conde,40664,8437
NE,BA,sao gabriel,18785,4089
NE,BA,sao goncalo dos campos,38315,8802
NE,BA,sao jose da vitoria,5562,988
NE,BA,sao jose do jacuipe,10546,2585
NE,BA,sao miguel das matas,11733,2378
NE,BA,sao sebastiao do passe,44554,9893
NE,BA,sapeacu,17421,5380
NE,BA,satiro dias,17330,2379
NE,BA,saubara,12163,1590
NE,BA,saude,12971,2681
NE,BA,seabra,44370,21524
NE,BA,sebastiao laranjeiras,11586,1713
NE,BA,senhor do bonfim,79813,27887
NE,BA,serra do ramalho,31362,6943
NE,BA,sento se,41279,3628
NE,BA,serra dourada,17261,3849
NE,BA,serra preta,14531,2955
NE,BA,serrinha,81693,34338
NE,BA,serrolandia,13490,3583
NE,BA,simoes filho,137117,42994
NE,BA,sitio do mato,13104,1684
NE,BA,sitio do quinto,9431,1978
NE,BA,sobradinho,23274,5984
NE,BA,souto soares,17118,3418
NE,BA,tabocas do brejo velho,12515,2183
NE,BA,tanhacu,20383,6491
NE,BA,tanque novo,17518,5223
NE,BA,tanquinho,7936,1525
NE,BA,taperoa,21421,3805
NE,BA,tapiramuta,16939,2117
NE,BA,teixeira de freitas,164290,70976
NE,BA,teodoro sampaio,7296,954
NE,BA,teofilandia,22590,5777
NE,BA,teolandia,15097,3276
NE,BA,terra nova,13018,1498
NE,BA,tremedal,15996,2984
NE,BA,tucano,50903,12242
NE,BA,uaua,23991,5129
NE,BA,ubaira,19860,4709
NE,BA,ubaitaba,18647,5675
NE,BA,ubata,27481,4695
NE,BA,uibai,13894,3136
NE,BA,umburanas,19573,2192
NE,BA,una,18108,3662
NE,BA,urandi,16672,5353
NE,BA,urucuca,20312,4388
NE,BA,utinga,19330,3461
NE,BA,valenca,97873,29080
NE,BA,valente,29111,7440
NE,BA,varzea da roca,14135,2982
NE,BA,varzea do poco,9247,2475
NE,BA,varzea nova,12556,2970
NE,BA,varzedo,8734,2307
NE,BA,vera cruz,44185,7024
NE,BA,vereda,6105,1320
NE,BA,vitoria da conquista,343643,158599
NE,BA,wagner,9342,1269
NE,BA,wanderley,12125,2641
NE,BA,wenceslau guimaraes,20862,4210
NE,BA,xique-xique,46562,9896
SE,MG,abadia dos dourados,7022,4610
SE,MG,abaete,23263,13893
SE,MG,abre campo,13434,6694
SE,MG,acaiaca,3995,1872
SE,MG,acucena,9270,3608
SE,MG,agua boa,13319,4370
SE,MG,agua comprida,1986,1031
SE,MG,aguanil,4557,1837
SE,MG,aguas formosas,19285,6325
SE,MG,aguas vermelhas,13656,2644
SE,MG,aimores,25116,10250
SE,MG,aiuruoca,5949,3526
SE,MG,alagoa,2657,1173
SE,MG,albertina,3015,1962
SE,MG,alem paraiba,35438,27712
SE,MG,alfenas,80973,50708
SE,MG,alfredo vasconcelos,7052,3613
SE,MG,almenara,42380,15880
SE,MG,alpercata,7448,2111
SE,MG,alpinopolis,20059,13219
SE,MG,alterosa,14566,9145
SE,MG,alto caparao,5938,3374
SE,MG,alto rio doce,10723,5379
SE,MG,alvarenga,3783,2185
SE,MG,alvinopolis,15135,6667
SE,MG,alvorada de minas,3605,1490
SE,MG,amparo do serra,4643,2079
SE,MG,andradas,41704,29515
SE,MG,cachoeira de pajeu,9470,1964
SE,MG,andrelandia,12189,5482
SE,MG,angelandia,8594,3045
SE,MG,antonio carlos,11471,5366
SE,MG,antonio dias,9233,3409
SE,MG,antonio prado de minas,1577,919
SE,MG,aracai,2360,720
SE,MG,aracitaba,2056,739
SE,MG,aracuai,36715,14208
SE,MG,araguari,118361,90036
SE,MG,arantina,2779,1362
SE,MG,araponga,8467,3811
SE,MG,arapora,6992,3702
SE,MG,arapua,2836,1826
SE,MG,araujos,9523,4965
SE,MG,araxa,108403,73455
SE,MG,arceburgo,10990,5368
SE,MG,arcos,40658,31245
SE,MG,areado,15288,8294
SE,MG,argirita,2681,946
SE,MG,aricanduva,5305,1485
SE,MG,arinos,17850,6805
SE,MG,astolfo dutra,14358,7351
SE,MG,ataleia,12496,3324
SE,MG,augusto de lima,4833,1454
SE,MG,baependi,19249,11315
SE,MG,baldim,7780,3505
SE,MG,bambui,23964,15423
SE,MG,bandeira,4738,979
SE,MG,bandeira do sul,5808,3244
SE,MG,barao de cocais,33232,16957
SE,MG,barao de monte alto,5311,1853
SE,MG,barbacena,139061,70979
SE,MG,barra longa,4905,2220
SE,MG,barroso,20981,11319
SE,MG,bela vista de minas,10269,4642
SE,MG,belmiro braga,3422,1272
SE,MG,belo horizonte,2530701,2304404
SE,MG,belo oriente,27277,10428
SE,MG,belo vale,7723,4794
SE,MG,berilo,11813,3817
SE,MG,bertopolis,4609,773
SE,MG,berizal,4792,1597
SE,MG,betim,450024,209308
SE,MG,bias fortes,3282,1180
SE,MG,bicas,14612,8366
SE,MG,biquinhas,2482,1604
SE,MG,boa esperanca,40308,24051
SE,MG,bocaina de minas,5088,3433
SE,MG,bocaiuva,50521,25837
SE,MG,bom despacho,51436,33455
SE,MG,bom jardim de minas,6444,3998
SE,MG,bom jesus da penha,4270,3489
SE,MG,bom jesus do amparo,6182,2888
SE,MG,bom jesus do galho,14792,5393
SE,MG,bom repouso,10527,7847
SE,MG,bom sucesso,17612,7943
SE,MG,bonfim,6852,4540
SE,MG,bonfinopolis de minas,5397,2796
SE,MG,bonito de minas,11502,1532
SE,MG,borda da mata,19809,10455
SE,MG,botelhos,14927,9451
SE,MG,botumirim,6259,1366
SE,MG,brasilandia de minas,16950,7551
SE,MG,brasilia de minas,32460,12931
SE,MG,bras pires,4255,2308
SE,MG,braunas,4737,1614
SE,MG,brazopolis,14364,7967
SE,MG,brumadinho,41208,23901
SE,MG,bueno brandao,10982,8225
SE,MG,buenopolis,10342,4003
SE,MG,bugre,3984,1359
SE,MG,buritis,25179,10042
SE,MG,buritizeiro,28184,10077
SE,MG,cabeceira grande,7025,1222
SE,MG,cabo verde,14074,6297
SE,MG,cachoeira da prata,3580,1620
SE,MG,cachoeira de minas,11609,5208
SE,MG,cachoeira dourada,2720,1145
SE,MG,caetanopolis,11869,5409
SE,MG,caete,45364,22783
SE,MG,caiana,5584,2165
SE,MG,cajuri,3961,1885
SE,MG,caldas,14600,8087
SE,MG,camacho,2839,1700
SE,MG,camanducaia,21831,15023
SE,MG,cambui,30068,20684
SE,MG,cambuquira,12810,6714
SE,MG,campanario,3739,1004
SE,MG,campanha,16855,9383
SE,MG,campestre,21052,15804
SE,MG,campina verde,19759,9974
SE,MG,campo azul,3830,836
SE,MG,campo belo,54338,33389
SE,MG,campo do meio,11648,5440
SE,MG,campo florido,8383,3995
SE,MG,campos altos,15661,8002
SE,MG,campos gerais,28908,13280
SE,MG,canaa,4533,2741
SE,MG,canapolis,12251,5566
SE,MG,cana verde,5585,2895
SE,MG,candeias,14890,9022
SE,MG,cantagalo,4575,1615
SE,MG,caparao,5464,2877
SE,MG,capela nova,4616,2449
SE,MG,capelinha,38321,24172
SE,MG,capetinga,6860,3574
SE,MG,capim branco,9896,4992
SE,MG,capinopolis,16294,9008
SE,MG,capitao andrade,5559,2395
SE,MG,capitao eneas,15388,4114
SE,MG,capitolio,8693,7481
SE,MG,caputira,9318,5583
SE,MG,carai,23872,3930
SE,MG,caranaiba,3150,1147
SE,MG,carandai,25831,15029
SE,MG,carangola,33022,16078
SE,MG,caratinga,93124,46241
SE,MG,carbonita,9423,5266
SE,MG,careacu,6826,2966
SE,MG,carlos chagas,18516,6273
SE,MG,carmesia,2660,2672
SE,MG,carmo da cachoeira,12193,4928
SE,MG,carmo da mata,11546,6060
SE,MG,carmo de minas,15031,4996
SE,MG,carmo do cajuru,22900,14208
SE,MG,carmo do paranaiba,30339,21304
SE,MG,carmo do rio claro,21310,12263
SE,MG,carmopolis de minas,19756,11616
SE,MG,carneirinho,10103,5612
SE,MG,carrancas,4052,1850
SE,MG,carvalhopolis,3614,2007
SE,MG,carvalhos,4445,2301
SE,MG,casa grande,2251,1112
SE,MG,cascalho rico,3108,1177
SE,MG,cassia,17741,10965
SE,MG,conceicao da barra de minas,3939,1971
SE,MG,cataguases,75942,39890
SE,MG,catas altas,5465,2811
SE,MG,catas altas da noruega,3665,1443
SE,MG,catuji,6206,1863
SE,MG,catuti,4944,2006
SE,MG,caxambu,21566,12143
SE,MG,cedro do abaete,1150,481
SE,MG,central de minas,7059,3487
SE,MG,centralina,10343,3570
SE,MG,chacara,3216,1217
SE,MG,chale,5695,3729
SE,MG,chapada do norte,15334,2322
SE,MG,chapada gaucha,14217,3976
SE,MG,chiador,2657,2412
SE,MG,cipotanea,6811,3359
SE,MG,claraval,4873,2327
SE,MG,claro dos pocoes,7478,2277
SE,MG,claudio,29093,19516
SE,MG,coimbra,7631,4120
SE,MG,coluna,8810,3781
SE,MG,comendador gomes,3128,1259
SE,MG,comercinho,6624,1935
SE,MG,conceicao da aparecida,10351,6483
SE,MG,conceicao das pedras,2814,1673
SE,MG,conceicao das alagoas,28782,13413
SE,MG,conceicao de ipanema,4581,2074
SE,MG,conceicao do mato dentro,17438,8290
SE,MG,conceicao do para,5558,3023
SE,MG,conceicao do rio verde,13729,5558
SE,MG,conceicao dos ouros,11852,5447
SE,MG,conego marinho,7730,1499
SE,MG,confins,6867,5716
SE,MG,congonhal,12209,7033
SE,MG,congonhas,55836,31108
SE,MG,congonhas do norte,5047,1615
SE,MG,conquista,6997,3504
SE,MG,conselheiro lafaiete,130584,78883
SE,MG,conselheiro pena,22975,9357
SE,MG,consolacao,1786,594
SE,MG,contagem,673849,335752
SE,MG,coqueiral,9099,4780
SE,MG,coracao de jesus,26620,7969
SE,MG,cordisburgo,8903,3309
SE,MG,cordislandia,3546,1459
SE,MG,corinto,23607,11873
SE,MG,coroaci,9897,3165
SE,MG,coromandel,27958,19154
SE,MG,coronel fabriciano,110709,51131
SE,MG,coronel murta,9209,2636
SE,MG,coronel pacheco,3095,810
SE,MG,coronel xavier chaves,3448,1522
SE,MG,corrego danta,3168,1500
SE,MG,corrego do bom jesus,3685,2237
SE,MG,corrego fundo,6425,3753
SE,MG,corrego novo,2688,1037
SE,MG,couto de magalhaes de minas,4436,1706
SE,MG,crisolita,6814,989
SE,MG,cristais,13060,6893
SE,MG,cristalia,5992,1792
SE,MG,cristiano otoni,5161,3165
SE,MG,cristina,10211,4204
SE,MG,crucilandia,5072,3463
SE,MG,cruzeiro da fortaleza,3651,2104
SE,MG,cruzilia,15529,9321
SE,MG,cuparaque,5026,1916
SE,MG,curral de dentro,7867,2358
SE,MG,curvelo,81085,48784
SE,MG,datas,5431,1905
SE,MG,delfim moreira,8007,3042
SE,MG,delfinopolis,7146,3496
SE,MG,delta,10994,6588
SE,MG,descoberto,5044,2292
SE,MG,desterro de entre rios,7266,4778
SE,MG,desterro do melo,2867,2023
SE,MG,diamantina,47924,24135
SE,MG,diogo de vasconcelos,3779,1419
SE,MG,dionisio,7493,2465
SE,MG,divinesia,3430,1618
SE,MG,divino,20020,11444
SE,MG,divino das laranjeiras,4969,1549
SE,MG,divinolandia de minas,7655,3473
SE,MG,divinopolis,242505,150535
SE,MG,divisa alegre,6946,1387
SE,MG,divisa nova,6039,2942
SE,MG,divisopolis,11396,1562
SE,MG,dom bosco,3635,1540
SE,MG,dom cavati,5025,3313
SE,MG,dom joaquim,4436,1424
SE,MG,dom silverio,5227,2584
SE,MG,dom vicoso,2992,1407
SE,MG,dona euzebia,6664,3848
SE,MG,dores de campos,10291,6229
SE,MG,dores de guanhaes,5139,2030
SE,MG,dores do indaia,13373,8219
SE,MG,dores do turvo,4202,3401
SE,MG,doresopolis,1539,707
SE,MG,douradoquara,1915,938
SE,MG,durande,7898,4048
SE,MG,eloi mendes,28556,14019
SE,MG,engenheiro caldas,11268,4036
SE,MG,engenheiro navarro,7240,2247
SE,MG,entre folhas,5383,2726
SE,MG,entre rios de minas,15458,9842
SE,MG,ervalia,19019,12314
SE,MG,esmeraldas,72512,22125
SE,MG,espera feliz,25287,14249
SE,MG,espinosa,31603,17140
SE,MG,espirito santo do dourado,4728,3004
SE,MG,estiva,11416,7308
SE,MG,estrela dalva,2308,904
SE,MG,estrela do indaia,3483,1587
SE,MG,estrela do sul,8057,2901
SE,MG,eugenopolis,11383,5444
SE,MG,ewbank da camara,3932,1123
SE,MG,extrema,37649,25361
SE,MG,fama,2374,749
SE,MG,faria lemos,3202,1196
SE,MG,felicio dos santos,4656,2293
SE,MG,sao goncalo do rio preto,3178,1229
SE,MG,felisburgo,7548,2278
SE,MG,felixlandia,15528,6463
SE,MG,fernandes tourinho,3500,1156
SE,MG,ferros,9576,4456
SE,MG,fervedouro,11100,4984
SE,MG,florestal,7602,4501
SE,MG,formiga,67956,49894
SE,MG,formoso,9810,1667
SE,MG,fortaleza de minas,4460,2052
SE,MG,fortuna de minas,2986,1205
SE,MG,francisco badaro,10311,2721
SE,MG,francisco dumont,5268,1785
SE,MG,francisco sa,26459,8318
SE,MG,franciscopolis,5287,1194
SE,MG,frei gaspar,5858,1460
SE,MG,frei inocencio,9716,3171
SE,MG,frei lagonegro,3496,1362
SE,MG,fronteira,18866,8328
SE,MG,fronteira dos vales,4542,911
SE,MG,fruta de leite,5232,1166
SE,MG,frutal,60508,47142
SE,MG,funilandia,4434,1583
SE,MG,galileia,6764,1993
SE,MG,gameleiras,5084,1670
SE,MG,glaucilandia,3177,364
SE,MG,goiabeira,3402,1555
SE,MG,goiana,4014,1820
SE,MG,goncalves,4360,2750
SE,MG,gonzaga,6184,3133
SE,MG,gouveia,11811,5225
SE,MG,governador valadares,282164,148421
SE,MG,grao mogol,15943,3692
SE,MG,grupiara,1386,660
SE,MG,guanhaes,34818,20295
SE,MG,guape,14269,7861
SE,MG,guaraciaba,10307,4367
SE,MG,guaraciama,5005,1920
SE,MG,guaranesia,19014,12384
SE,MG,guarani,8926,3107
SE,MG,guarara,3755,1889
SE,MG,guarda-mor,6558,3609
SE,MG,guaxupe,52234,35486
SE,MG,guidoval,7026,4101
SE,MG,guimarania,8168,4430
SE,MG,guiricema,8296,5624
SE,MG,gurinhata,5516,2419
SE,MG,heliodora,6623,2895
SE,MG,iapu,11085,4499
SE,MG,ibertioga,4999,2073
SE,MG,ibia,25511,13160
SE,MG,ibiai,8478,2166
SE,MG,ibiracatu,5340,1514
SE,MG,ibiraci,14128,6408
SE,MG,ibirite,184030,73585
SE,MG,ibitiura de minas,3497,2104
SE,MG,ibituruna,3003,907
SE,MG,icarai de minas,12200,2113
SE,MG,igarape,44561,25341
SE,MG,igaratinga,11146,6505
SE,MG,iguatama,7901,3993
SE,MG,ijaci,6667,3587
SE,MG,ilicinea,12511,7575
SE,MG,imbe de minas,6976,2591
SE,MG,inconfidentes,7387,4056
SE,MG,indaiabira,7328,2088
SE,MG,indianopolis,7009,3113
SE,MG,ingai,2785,890
SE,MG,inhapim,24020,13105
SE,MG,inhauma,6352,2431
SE,MG,inimutaba,7605,2508
SE,MG,ipaba,18926,4526
SE,MG,ipanema,20133,11430
SE,MG,ipatinga,267333,160765
SE,MG,ipiacu,4229,2141
SE,MG,ipuiuna,10156,7203
SE,MG,irai de minas,7067,4737
SE,MG,itabira,121717,65448
SE,MG,itabirinha,11637,6103
SE,MG,itabirito,52996,35158
SE,MG,itacambira,5447,341
SE,MG,itacarambi,18175,6252
SE,MG,itaguara,13510,10410
SE,MG,itaipe,12910,3743
SE,MG,itajuba,97782,50849
SE,MG,itamarandiba,35130,19819
SE,MG,itamarati de minas,4395,1738
SE,MG,itambacuri,23207,7270
SE,MG,itambe do mato dentro,2032,777
SE,MG,itamogi,10122,6946
SE,MG,itamonte,15844,9106
SE,MG,itanhandu,15511,9703
SE,MG,itanhomi,12259,6007
SE,MG,itaobim,20997,7269
SE,MG,itapagipe,15511,8485
SE,MG,itapecerica,21760,10835
SE,MG,itapeva,9976,6699
SE,MG,itatiaiucu,11354,6773
SE,MG,itau de minas,16286,9886
SE,MG,itauna,94455,64958
SE,MG,itaverava,5321,2188
SE,MG,itinga,15053,3085
SE,MG,itueta,6074,2481
SE,MG,ituiutaba,105818,72648
SE,MG,itumirim,5978,2662
SE,MG,iturama,40101,29628
SE,MG,itutinga,3749,2033
SE,MG,jaboticatubas,20683,8987
SE,MG,jacinto,12320,2668
SE,MG,jacui,7695,5965
SE,MG,jacutinga,26538,16979
SE,MG,jaguaracu,3151,1236
SE,MG,jaiba,39850,16797
SE,MG,jampruca,5453,1047
SE,MG,janauba,72374,38174
SE,MG,januaria,67958,27017
SE,MG,japaraiba,4418,2736
SE,MG,japonvar,7991,2519
SE,MG,jeceaba,4795,3032
SE,MG,jenipapo de minas,7781,2392
SE,MG,jequeri,12246,5807
SE,MG,jequitai,7407,2653
SE,MG,jequitiba,5203,2301
SE,MG,jequitinhonha,25555,6155
SE,MG,jesuania,4774,2369
SE,MG,joaima,15476,3759
SE,MG,joanesia,4382,1781
SE,MG,joao monlevade,80903,48771
SE,MG,joao pinheiro,47990,28212
SE,MG,joaquim felicio,4757,1123
SE,MG,jordania,10872,1959
SE,MG,jose goncalves de minas,4474,1971
SE,MG,jose raydan,5104,1728
SE,MG,josenopolis,4911,755
SE,MG,nova uniao,5739,3417
SE,MG,juatuba,27823,14133
SE,MG,juiz de fora,577532,287787
SE,MG,juramento,4359,652
SE,MG,juruaia,10795,7560
SE,MG,juvenilia,5706,970
SE,MG,ladainha,18272,4005
SE,MG,lagamar,7588,3868
SE,MG,lagoa da prata,53236,37277
SE,MG,lagoa dos patos,4062,1081
SE,MG,lagoa dourada,13115,8967
SE,MG,lagoa formosa,18168,11740
SE,MG,lagoa grande,9681,4486
SE,MG,lagoa santa,66744,35854
SE,MG,lajinha,19914,11611
SE,MG,lambari,20995,13118
SE,MG,lamim,3366,1774
SE,MG,laranjal,6856,3536
SE,MG,lassance,6494,1940
SE,MG,lavras,105756,68336
SE,MG,leandro ferreira,3222,1804
SE,MG,leme do prado,4923,1981
SE,MG,leopoldina,52690,24095
SE,MG,liberdade,4994,3199
SE,MG,lima duarte,16749,7638
SE,MG,limeira do oeste,7640,4810
SE,MG,lontra,9766,2338
SE,MG,luisburgo,6249,4040
SE,MG,luislandia,6735,1197
SE,MG,luminarias,5431,3175
SE,MG,luz,18297,11538
SE,MG,machacalis,7112,2149
SE,MG,machado,42682,23834
SE,MG,madre de deus de minas,5119,2750
SE,MG,malacacheta,18556,6760
SE,MG,mamonas,6565,3583
SE,MG,manga,18051,5866
SE,MG,manhuacu,92074,45273
SE,MG,manhumirim,22894,12031
SE,MG,mantena,27651,20479
SE,MG,maravilhas,8113,4545
SE,MG,mar de espanha,12985,6895
SE,MG,maria da fe,14019,5974
SE,MG,mariana,61830,30232
SE,MG,marilac,4079,1235
SE,MG,mario campos,15814,7654
SE,MG,maripa de minas,3000,1836
SE,MG,marlieria,4030,1752
SE,MG,marmelopolis,2701,1507
SE,MG,martinho campos,13497,9409
SE,MG,martins soares,8640,4052
SE,MG,mata verde,8700,2023
SE,MG,materlandia,4415,1592
SE,MG,mateus leme,31631,16966
SE,MG,matias barbosa,14626,8549
SE,MG,matias cardoso,11360,1656
SE,MG,matipo,19098,8055
SE,MG,mato verde,12367,8718
SE,MG,matozinhos,38469,21717
SE,MG,matutina,3733,2282
SE,MG,medeiros,3861,2264
SE,MG,medina,20701,5811
SE,MG,mendes pimentel,6446,2589
SE,MG,merces,10775,6018
SE,MG,mesquita,5489,1881
SE,MG,minas novas,31509,8426
SE,MG,minduri,3891,1831
SE,MG,mirabela,13651,6985
SE,MG,miradouro,10818,4937
SE,MG,mirai,15205,7205
SE,MG,miravania,4939,936
SE,MG,moeda,4948,3343
SE,MG,moema,7589,5983
SE,MG,monjolos,2184,268
SE,MG,monsenhor paulo,8764,4390
SE,MG,montalvania,14621,5176
SE,MG,monte alegre de minas,21349,12981
SE,MG,monte azul,20544,11455
SE,MG,monte belo,13139,9113
SE,MG,monte carmelo,48049,37409
SE,MG,monte formoso,4939,1448
SE,MG,monte santo de minas,21504,14942
SE,MG,montes claros,417478,228357
SE,MG,monte siao,24247,17896
SE,MG,montezuma,8379,2504
SE,MG,morada nova de minas,8955,4082
SE,MG,morro da garca,2413,807
SE,MG,morro do pilar,3126,1103
SE,MG,munhoz,5960,4963
SE,MG,muriae,109997,58744
SE,MG,mutum,26945,12488
SE,MG,muzambinho,20522,16746
SE,MG,nacip raydan,3221,670
SE,MG,nanuque,40583,21993
SE,MG,naque,7104,2357
SE,MG,natalandia,3306,1239
SE,MG,natercia,4727,2789
SE,MG,nazareno,8710,4941
SE,MG,nepomuceno,26882,15259
SE,MG,ninheira,10355,2858
SE,MG,nova belem,3067,1283
SE,MG,nova era,17524,8905
SE,MG,nova lima,97378,51457
SE,MG,nova modica,3548,1033
SE,MG,nova ponte,16046,8027
SE,MG,nova porteirinha,7493,2490
SE,MG,nova resende,16937,14883
SE,MG,nova serrana,108241,53039
SE,MG,novo cruzeiro,31339,10338
SE,MG,novo oriente de minas,10800,2427
SE,MG,novorizonte,5348,1955
SE,MG,olaria,1694,901
SE,MG,olhos-d'agua,6243,2251
SE,MG,olimpio noronha,2829,952
SE,MG,oliveira,41987,24644
SE,MG,oliveira fortes,2128,709
SE,MG,onca de pitangui,3155,1024
SE,MG,oratorios,4671,1992
SE,MG,orizania,8138,3693
SE,MG,ouro branco,40220,23567
SE,MG,ouro fino,33938,21919
SE,MG,ouro preto,74824,39178
SE,MG,ouro verde de minas,5895,2224
SE,MG,padre carvalho,6466,1092
SE,MG,padre paraiso,20346,7709
SE,MG,paineiras,4440,2732
SE,MG,pains,8308,4950
SE,MG,pai pedro,6098,1433
SE,MG,paiva,1517,525
SE,MG,palma,6606,2972
SE,MG,palmopolis,5196,1759
SE,MG,papagaios,15922,9513
SE,MG,paracatu,94539,52256
SE,MG,para de minas,95616,69339
SE,MG,paraguacu,21693,12795
SE,MG,paraisopolis,21353,11510
SE,MG,paraopeba,24854,14407
SE,MG,passabem,1619,626
SE,MG,passa quatro,16439,8721
SE,MG,passa tempo,8031,5156
SE,MG,passa vinte,2024,3179
SE,MG,passos,115970,78025
SE,MG,patis,6031,1404
SE,MG,patos de minas,154641,117966
SE,MG,patrocinio,92116,65625
SE,MG,patrocinio do muriae,5744,3030
SE,MG,paula candido,9597,4354
SE,MG,paulistas,4794,1776
SE,MG,pavao,8390,1957
SE,MG,pecanha,17534,7183
SE,MG,pedra azul,24333,6868
SE,MG,pedra bonita,7157,3876
SE,MG,pedra do anta,2960,1726
SE,MG,pedra do indaia,3977,2186
SE,MG,pedra dourada,2559,970
SE,MG,pedralva,11098,5984
SE,MG,pedras de maria da cruz,12313,2214
SE,MG,pedrinopolis,3651,1752
SE,MG,pedro leopoldo,65149,36088
SE,MG,pedro teixeira,1804,886
SE,MG,pequeri,3340,1700
SE,MG,pequi,4457,2104
SE,MG,perdigao,11994,6679
SE,MG,perdizes,16469,8897
SE,MG,perdoes,21577,14182
SE,MG,periquito,6738,1772
SE,MG,pescador,4261,900
SE,MG,piau,2719,1502
SE,MG,piedade de caratinga,8832,4705
SE,MG,piedade de ponte nova,4141,1422
SE,MG,piedade do rio grande,4436,1992
SE,MG,piedade dos gerais,5034,3152
SE,MG,pimenta,8715,5937
SE,MG,pingo-d'agua,5029,1114
SE,MG,pintopolis,7540,1713
SE,MG,piracema,6386,4273
SE,MG,pirajuba,6491,2812
SE,MG,piranga,17641,6883
SE,MG,pirangucu,5504,2383
SE,MG,piranguinho,8683,4862
SE,MG,pirapetinga,10791,9847
SE,MG,pirapora,56845,29130
SE,MG,pirauba,10732,4853
SE,MG,pitangui,28433,18799
SE,MG,piumhi,35137,25391
SE,MG,planura,12445,5684
SE,MG,poco fundo,16900,12391
SE,MG,pocos de caldas,169838,116838
SE,MG,pocrane,8288,3881
SE,MG,pompeu,32248,15655
SE,MG,ponte nova,60003,33439
SE,MG,ponto chique,4305,793
SE,MG,ponto dos volantes,12235,2343
SE,MG,porteirinha,37823,21480
SE,MG,porto firme,11414,3894
SE,MG,pote,16675,5025
SE,MG,pouso alegre,154293,96392
SE,MG,pouso alto,5862,3105
SE,MG,prados,9128,5140
SE,MG,prata,28173,15971
SE,MG,pratapolis,8530,6021
SE,MG,pratinha,3658,2358
SE,MG,presidente bernardes,5315,2228
SE,MG,presidente juscelino,3572,1255
SE,MG,presidente kubitschek,3000,1128
SE,MG,presidente olegario,19680,9630
SE,MG,alto jequitiba,8286,5301
SE,MG,prudente de morais,10931,5353
SE,MG,quartel geral,3603,1348
SE,MG,queluzito,1948,884
SE,MG,raposos,16501,7609
SE,MG,raul soares,23663,12257
SE,MG,recreio,10522,3936
SE,MG,reduto,7247,3055
SE,MG,resende costa,11578,7472
SE,MG,resplendor,17396,8146
SE,MG,ressaquinha,4826,2691
SE,MG,riachinho,8132,2674
SE,MG,riacho dos machados,9471,3211
SE,MG,ribeirao das neves,341415,116375
SE,MG,ribeirao vermelho,4061,1423
SE,MG,rio acima,10524,4895
SE,MG,rio casca,13384,5321
SE,MG,rio doce,2630,1177
SE,MG,rio do prado,5117,1103
SE,MG,rio espera,5332,2674
SE,MG,rio manso,5924,3142
SE,MG,rio novo,8964,4312
SE,MG,rio paranaiba,12356,9067
SE,MG,rio pardo de minas,31171,11870
SE,MG,rio piracicaba,14325,6324
SE,MG,rio pomba,18007,10355
SE,MG,rio preto,5493,7108
SE,MG,rio vermelho,12635,4548
SE,MG,ritapolis,4521,2030
SE,MG,rochedo de minas,2335,993
SE,MG,rodeiro,8333,4529
SE,MG,romaria,3507,1689
SE,MG,rosario da limeira,4648,2680
SE,MG,rubelita,5609,1113
SE,MG,rubim,10269,2362
SE,MG,sabara,137877,55389
SE,MG,sabinopolis,15364,6626
