UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RN;FERNANDO PEDROZA;648;283;0;30;3;43;10;0;2;6;235;19;4;0;11;1;0;0;0;0;0;1
SP;FERNANDO PRESTES;4314;2466;0;269;45;595;115;0;6;12;475;119;23;0;122;47;0;0;0;2;0;18
SP;FERNANDOPOLIS;63248;31611;0;1585;495;4913;1749;0;240;113;13159;5465;249;1;2519;710;5;5;0;5;19;405
SP;FERNAO;924;523;0;37;7;94;32;0;0;8;153;15;13;0;31;9;0;0;0;0;0;2
SP;FERRAZ DE VASCONCELOS;76368;52918;0;2029;178;4540;3755;1;61;354;10026;1037;515;0;350;124;1;2;0;57;19;401
AP;FERREIRA GOMES;628;262;0;18;0;56;25;0;2;5;206;40;6;0;7;0;0;0;0;0;0;1
PE;FERREIROS;3291;966;0;95;14;176;59;0;22;2;1633;195;53;0;57;14;0;0;0;0;0;5
MG;FERROS;4456;1744;0;128;25;385;51;0;22;21;1920;16;58;0;44;17;4;0;1;1;5;14
MG;FERVEDOURO;4984;2340;0;217;18;435;68;0;26;12;1743;29;22;0;39;15;0;1;0;1;3;15
PR;FIGUEIRA;4572;2665;0;179;74;436;105;0;7;13;690;159;52;0;75;81;0;0;0;0;1;35
MS;FIGUEIRAO;1414;507;0;77;2;302;34;0;0;24;369;46;12;0;29;1;0;0;0;0;0;11
TO;FIGUEIROPOLIS;2475;777;0;104;25;289;36;0;3;5;807;262;10;0;104;46;0;0;0;0;0;7
MT;FIGUEIROPOLIS D'OESTE;2531;681;0;91;5;273;23;0;4;4;1194;193;11;0;36;9;0;0;0;0;0;7
BA;FILADELFIA;4045;1366;0;169;12;305;41;0;0;15;1954;84;35;0;46;10;0;0;0;0;0;8
TO;FILADELFIA;1290;264;0;54;18;161;32;0;1;9;446;205;14;0;58;24;0;1;0;0;1;2
BA;FIRMINO ALVES;794;411;0;22;1;70;15;0;0;3;245;7;4;0;13;2;0;0;0;0;0;1
GO;FIRMINOPOLIS;6169;2839;0;118;31;677;99;0;111;6;1395;438;8;0;387;37;0;0;0;0;1;22
AL;FLEXEIRAS;1680;742;0;39;0;106;36;0;2;21;588;27;52;0;43;18;0;0;0;0;1;5
PR;FLOR DA SERRA DO SUL;2640;1510;0;122;51;307;51;0;0;6;429;33;38;0;18;65;1;0;0;1;0;8
SC;FLOR DO SERTAO;1224;618;0;25;7;109;28;0;0;12;349;33;15;0;10;15;0;0;0;0;0;3
SP;FLORA RICA;894;558;0;27;8;106;11;0;2;4;115;3;13;0;33;12;0;1;0;0;0;1
PR;FLORAI;3740;1882;0;185;76;410;73;0;4;11;528;331;25;0;94;107;0;0;0;0;3;11
RN;FLORANIA;2774;865;0;86;1;238;45;0;5;20;1335;119;12;0;28;7;0;0;0;1;0;12
SP;FLOREAL;2078;1242;0;73;12;231;52;0;1;8;304;31;8;0;99;9;0;0;1;0;0;7
PE;FLORES;5537;1747;0;136;16;429;55;0;22;67;2857;104;23;0;51;26;0;0;0;0;0;4
RS;FLORES DA CUNHA;26697;15104;0;1741;905;2904;1155;0;22;86;2077;329;167;1;677;897;0;38;0;30;0;564
GO;FLORES DE GOIAS;1605;667;0;61;2;175;34;0;1;7;514;55;17;0;70;0;0;1;0;0;1;0
PI;FLORES DO PIAUI;684;200;0;18;0;84;6;0;4;8;336;20;3;0;4;0;0;0;0;0;0;1
PE;FLORESTA;10197;2881;0;564;16;915;84;0;234;53;4675;498;34;0;131;31;42;0;0;0;6;33
PR;FLORESTA;6551;3288;0;328;138;915;142;0;7;21;1014;318;45;0;139;124;0;1;0;3;5;63
BA;FLORESTA AZUL;1551;692;0;56;0;125;62;0;1;9;518;50;4;0;29;0;0;0;0;1;0;4
PA;FLORESTA DO ARAGUAIA;4660;664;0;272;13;582;45;0;0;4;2411;528;24;0;37;75;0;0;0;0;1;4
PI;FLORESTA DO PIAUI;596;137;0;12;0;55;3;0;0;8;337;35;5;0;2;0;0;0;0;1;0;1
MG;FLORESTAL;4501;2415;0;144;50;383;109;0;13;15;1050;116;39;0;88;44;1;0;0;0;2;32
PR;FLORESTOPOLIS;6629;4005;0;234;132;468;167;0;7;51;650;322;154;0;232;190;0;0;0;0;1;16
PI;FLORIANO;43556;11027;0;1293;170;3108;422;0;147;125;21995;4306;92;0;376;253;4;0;0;0;24;214
RS;FLORIANO PEIXOTO;1419;788;0;90;5;183;36;0;0;4;272;7;22;0;8;3;0;0;0;0;0;1
