UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
GO;ABADIA DE GOIAS;5344;2561;0;198;51;526;114;0;50;11;1210;225;16;0;299;48;0;2;0;0;1;32
MG;ABADIA DOS DOURADOS;4610;2406;0;212;26;497;66;0;10;39;1059;121;22;0;106;33;0;0;0;0;2;11
GO;ABADIANIA;6418;3187;0;343;44;731;163;0;10;40;1264;232;37;0;290;40;0;0;0;0;2;35
MG;ABAETE;13893;7659;0;519;74;1439;284;0;128;52;2257;751;192;0;386;82;9;0;0;0;4;57
PA;ABAETETUBA;38617;6439;0;470;62;1077;514;0;261;36;20522;8460;318;0;198;72;0;1;0;0;75;112
CE;ABAIARA;2824;669;0;59;1;185;21;0;2;31;1749;60;9;0;34;3;0;0;0;0;0;1
BA;ABAIRA;2309;1036;0;66;6;300;31;0;0;32;721;68;17;0;7;10;0;0;0;0;0;15
BA;ABARE;2766;715;0;57;1;263;23;0;0;42;1561;51;25;0;20;1;0;0;0;0;2;5
PR;ABATIA;4368;2376;0;197;32;473;92;0;1;13;949;75;56;0;44;46;0;0;0;1;1;12
SC;ABDON BATISTA;1819;1019;0;81;8;277;26;0;0;4;335;20;15;0;19;7;0;1;0;2;0;5
PA;ABEL FIGUEIREDO;1588;323;0;82;18;203;15;0;0;6;749;135;7;0;22;22;0;0;0;0;1;5
SC;ABELARDO LUZ;12309;6706;0;436;174;1548;420;0;2;28;1896;251;142;0;210;289;3;4;0;1;0;199
MG;ABRE CAMPO;6694;3156;0;280;94;750;106;0;21;17;1955;15;56;0;77;134;0;0;0;0;2;31
PE;ABREU E LIMA;31766;16071;0;688;141;1351;1592;0;398;92;10029;373;355;0;407;168;0;0;0;3;5;93
TO;ABREULANDIA;731;217;0;29;3;93;22;0;0;1;288;48;6;0;17;6;0;0;0;0;0;1
MG;ACAIACA;1872;957;0;45;1;156;38;0;8;9;584;15;13;0;42;1;0;0;0;0;2;1
MA;ACAILANDIA;46556;11622;0;1876;349;3974;505;0;245;141;19431;6673;325;0;728;493;1;3;0;16;28;146
BA;ACAJUTIBA;2910;930;0;88;0;193;50;0;3;17;1278;271;26;0;47;0;0;0;0;0;2;5
PA;ACARA;5109;797;0;100;3;329;61;0;3;15;3360;272;106;0;46;8;0;1;0;0;1;7
CE;ACARAPE;3034;1216;0;116;6;142;34;0;2;16;1346;87;20;0;25;10;0;0;0;0;1;13
CE;ACARAU;18184;4031;0;304;5;1668;177;0;1;55;9496;2124;78;0;102;7;0;1;0;0;5;130
RN;ACARI;3916;1376;0;118;7;269;96;0;69;14;1615;268;16;0;43;9;0;0;0;0;4;12
PI;ACAUA;2111;376;0;140;0;272;15;0;0;27;1221;21;38;0;0;1;0;0;0;0;0;0
RS;ACEGUA;4432;2366;0;102;124;660;99;0;2;17;618;35;33;0;147;196;0;4;0;6;0;23
CE;ACOPIARA;17800;3778;0;431;35;1118;129;0;12;94;10883;1049;74;0;75;56;0;0;0;0;8;58
MT;ACORIZAL;1469;582;0;30;1;192;29;0;22;7;494;70;3;0;30;2;0;0;0;0;0;7
AC;ACRELANDIA;7053;1554;0;490;42;780;56;0;2;10;3475;418;43;0;94;69;0;2;0;0;1;17
GO;ACREUNA;13080;5629;0;480;294;1412;247;0;62;25;2420;1235;135;0;514;529;0;0;0;4;2;92
RN;ACU;25938;8126;0;941;54;1618;311;0;1401;76;10366;2334;124;0;304;93;0;5;0;0;12;173
MG;ACUCENA;3608;1349;0;58;1;317;38;0;5;18;1713;22;46;0;29;2;0;0;0;1;3;6
SP;ADAMANTINA;28571;15581;0;763;307;2504;819;0;158;62;4696;1944;96;0;911;518;4;0;0;4;7;197
GO;ADELANDIA;1420;639;0;47;1;174;37;0;9;2;354;62;8;0;83;3;0;0;0;0;0;1
SP;ADOLFO;2677;1547;0;69;38;242;49;0;2;5;394;43;28;0;197;47;1;0;0;1;0;14
PR;ADRIANOPOLIS;3306;1571;0;145;41;278;94;0;0;8;944;73;34;0;41;62;0;0;0;0;2;13
BA;ADUSTINA;1891;297;0;21;1;104;5;0;0;5;1294;146;11;0;2;1;0;0;0;0;2;2
PE;AFOGADOS DA INGAZEIRA;21278;6504;0;507;27;1513;325;0;479;109;10215;964;100;0;397;45;1;0;0;0;8;84
RN;AFONSO BEZERRA;1808;703;0;36;1;144;25;0;2;8;796;63;17;0;9;1;0;0;0;0;0;3
ES;AFONSO CLAUDIO;21140;8710;0;832;31;1998;254;0;4;113;7200;1601;112;0;140;32;0;1;0;5;10;97
MA;AFONSO CUNHA;719;75;0;11;0;47;3;0;0;1;517;55;7;0;1;1;0;0;0;0;0;1
PE;AFRANIO;5432;961;0;205;10;390;45;0;6;18;3519;186;26;0;35;23;0;0;0;0;0;8
PA;AFUA;14;2;0;0;3;1;0;0;0;0;3;1;0;0;0;3;0;0;0;0;0;1
PE;AGRESTINA;7986;3282;0;213;16;505;146;0;27;51;2892;590;45;0;166;24;0;1;0;0;1;27
PI;AGRICOLANDIA;1725;322;0;21;2;97;8;0;1;3;1050;207;8;0;2;1;0;0;0;0;0;3
SC;AGROLANDIA;8684;4568;0;300;51;828;296;0;3;21;1533;625;25;0;260;76;1;2;0;5;0;90
SC;AGRONOMICA;4505;2393;0;165;58;476;150;0;4;6;698;249;11;0;170;82;0;3;0;4;0;36
PA;AGUA AZUL DO NORTE;3192;483;0;125;19;352;39;0;1;11;1743;299;38;0;36;41;0;0;0;0;0;5
MG;AGUA BOA;4370;1488;0;102;1;373;55;0;8;19;2156;44;44;0;53;1;0;0;0;0;16;10
MT;AGUA BOA;19472;5413;0;825;559;2621;302;0;64;30;5446;2295;71;0;712;982;0;0;0;1;5;146
AL;AGUA BRANCA;4697;1129;0;126;4;566;41;0;17;96;2498;148;31;0;27;10;0;0;0;0;0;4
PB;AGUA BRANCA;1046;422;0;22;0;151;17;0;5;35;335;29;10;0;3;0;0;0;0;0;0;17
PI;AGUA BRANCA;12963;2360;0;208;11;671;77;0;16;21;8123;1311;26;0;78;16;0;0;0;1;5;39
MS;AGUA CLARA;9099;3965;0;465;128;1187;219;0;10;41;1905;480;129;0;268;231;0;0;0;1;3;67
MG;AGUA COMPRIDA;1031;566;0;43;12;134;23;0;5;16;145;7;13;0;48;15;0;0;0;0;1;3
SC;AGUA DOCE;5556;2966;0;286;217;669;132;0;0;41;645;100;36;0;90;306;4;3;0;0;1;60
MA;AGUA DOCE DO MARANHAO;699;66;0;8;0;52;9;0;0;5;509;36;11;0;2;0;0;0;0;0;0;1
ES;AGUA DOCE DO NORTE;6002;1968;0;185;14;530;60;0;2;38;2598;474;49;0;41;24;0;0;0;2;1;16
BA;AGUA FRIA;2394;873;0;40;1;124;50;0;2;23;1142;58;48;0;25;1;0;0;0;0;2;5
GO;AGUA FRIA DE GOIAS;1290;645;0;61;11;159;29;0;1;12;245;21;26;0;58;14;2;0;0;0;0;6
GO;AGUA LIMPA;927;510;0;27;1;120;20;0;2;7;169;30;3;0;36;0;0;0;0;0;0;2
RN;AGUA NOVA;1029;251;0;12;1;43;9;0;2;8;598;91;2;0;4;3;0;0;0;0;0;5
PE;AGUA PRETA;5592;2027;0;176;0;205;87;0;115;85;2347;288;95;0;148;4;0;0;0;0;1;14
RS;AGUA SANTA;2967;1441;0;240;37;491;98;0;1;16;487;35;25;0;35;36;0;4;0;1;0;20
SP;AGUAI;23307;12165;0;988;246;1662;841;0;104;85;5052;1163;226;0;367;262;2;1;0;4;6;133
MG;AGUANIL;1837;1117;0;85;18;178;41;0;1;8;305;23;10;0;32;18;0;0;0;0;0;1
PE;AGUAS BELAS;10088;2531;0;372;34;677;83;0;17;105;5347;675;72;0;62;80;0;0;0;0;1;32
SP;AGUAS DA PRATA;5028;2962;0;137;18;487;220;0;13;26;841;162;14;0;73;17;0;1;0;0;1;56
SC;AGUAS DE CHAPECO;4411;2395;0;88;29;378;107;1;0;8;1029;218;36;0;67;29;0;1;0;1;0;24
SP;AGUAS DE LINDOIA;14296;8125;0;211;12;1034;459;0;11;102;3260;632;128;0;124;20;0;2;0;0;3;173
SP;AGUAS DE SANTA BARBARA;4569;2727;0;147;52;483;149;0;4;41;572;78;33;0;167;74;2;0;0;0;2;38
SP;AGUAS DE SAO PEDRO;2798;1812;0;37;2;256;143;0;8;10;297;70;6;0;104;3;0;3;0;3;1;43
MG;AGUAS FORMOSAS;6325;2500;0;137;5;684;121;0;45;35;2446;156;54;0;91;12;6;0;0;0;8;25
SC;AGUAS FRIAS;2317;993;0;80;146;217;56;0;1;8;420;61;6;0;54;245;0;0;0;0;0;30
GO;AGUAS LINDAS DE GOIAS;37508;16420;0;1410;118;2623;1130;6;212;225;6283;720;751;0;7349;116;6;4;0;8;22;105
SC;AGUAS MORNAS;5431;2682;0;333;15;590;196;0;0;9;1085;228;20;0;159;16;0;6;0;4;1;87
MG;AGUAS VERMELHAS;2644;1019;0;99;24;312;27;0;0;31;988;54;34;0;25;25;0;0;0;0;1;5
RS;AGUDO;11198;6295;0;371;138;1269;301;0;3;19;2057;102;75;0;264;211;0;5;1;18;2;67
SP;AGUDOS;24042;14050;0;653;300;1726;787;1;22;140;4100;1227;113;0;421;365;3;0;0;10;4;120
PR;AGUDOS DO SUL;6935;3585;0;624;97;721;157;0;1;20;1227;88;50;0;168;163;0;2;0;0;1;31
ES;AGUIA BRANCA;5930;1701;0;219;24;594;46;0;0;25;2495;668;67;0;38;31;0;0;0;2;6;14
PB;AGUIAR;1318;343;0;23;1;109;10;0;0;8;795;20;3;0;0;1;0;0;0;0;0;5
TO;AGUIARNOPOLIS;1996;479;0;69;36;124;20;0;11;8;855;253;15;0;56;66;0;0;0;0;0;4
MG;AIMORES;10250;3864;0;224;14;550;106;0;32;45;4100;1047;50;0;153;22;2;0;0;2;8;31
BA;AIQUARA;602;215;0;9;0;55;16;0;0;7;273;13;6;0;7;0;0;0;0;0;0;1
CE;AIUABA;3310;508;0;38;2;206;15;0;1;7;2359;134;10;0;19;5;0;1;0;0;0;5
MG;AIURUOCA;3526;1725;0;120;22;379;95;0;8;28;983;27;12;0;50;23;0;0;0;0;1;53
RS;AJURICABA;6341;3246;0;502;94;974;247;0;2;26;860;57;34;0;96;140;0;4;0;3;1;55
MG;ALAGOA;1173;532;0;39;1;125;38;0;1;3;380;12;18;0;11;0;0;0;0;0;0;13
PB;ALAGOA GRANDE;6719;2090;0;146;3;319;156;0;45;38;3552;253;50;0;34;6;0;0;0;0;1;26
PB;ALAGOA NOVA;5074;1923;0;164;3;592;132;0;3;37;2042;103;15;0;21;5;0;0;0;0;3;31
PB;ALAGOINHA;3418;1118;0;49;13;168;48;0;45;19;1719;141;45;0;22;22;0;0;0;0;1;8
PE;ALAGOINHA;3306;1412;0;155;10;258;64;0;57;67;1168;45;20;0;30;14;0;0;0;0;2;4
PI;ALAGOINHA DO PIAUI;1500;495;0;56;0;254;11;0;0;5;555;98;5;0;18;1;0;0;0;0;0;2
BA;ALAGOINHAS;60959;25913;0;1564;381;4235;1626;9;329;406;17070;6123;708;1;1342;607;5;0;0;3;39;598
SP;ALAMBARI;2743;1404;0;113;13;258;74;0;1;17;671;102;9;0;52;13;0;0;0;2;0;14
MG;ALBERTINA;1962;1024;0;82;2;271;44;0;0;30;449;23;8;0;12;2;0;0;0;0;3;12
MA;ALCANTARA;2202;385;0;57;2;192;29;0;0;30;1311;123;63;0;0;3;0;1;0;0;0;6
CE;ALCANTARAS;4395;753;0;59;3;222;36;0;2;16;2601;648;32;0;7;2;0;0;0;0;0;14
PB;ALCANTIL;903;352;0;69;13;100;21;0;1;18;275;13;18;0;2;20;0;0;0;0;0;1
MS;ALCINOPOLIS;3131;992;0;146;17;640;57;0;3;22;926;166;24;0;87;24;0;0;0;1;0;26
BA;ALCOBACA;4458;1579;0;78;3;408;65;0;13;12;1728;424;36;0;90;1;0;0;0;0;3;18
MA;ALDEIAS ALTAS;3164;419;0;48;0;126;13;0;0;4;2223;252;28;0;44;4;0;0;0;0;1;2
RS;ALECRIM;4463;2523;0;118;6;449;98;1;1;8;1101;31;38;0;64;2;1;3;0;1;1;17
ES;ALEGRE;14598;7229;0;316;23;1301;342;0;7;90;3994;929;41;0;146;27;8;0;0;4;21;120
RS;ALEGRETE;42140;23624;0;1146;293;4802;1386;0;33;69;7369;1204;279;0;1193;411;8;11;0;32;7;273
PI;ALEGRETE DO PIAUI;581;169;0;40;1;62;4;0;0;4;255;31;4;0;6;1;0;0;0;0;0;4
RS;ALEGRIA;2595;1354;0;116;11;275;79;0;0;4;654;25;30;0;14;17;0;0;0;0;0;16
MG;ALEM PARAIBA;27712;15018;0;1683;583;2426;649;0;73;141;5213;566;71;0;531;587;5;7;0;1;10;148
PA;ALENQUER;10815;1103;0;231;3;751;56;0;4;6;7908;584;100;0;2;3;0;0;0;0;6;58
RN;ALEXANDRIA;5968;2159;0;145;17;529;57;0;2;51;2628;214;18;0;74;36;0;0;0;0;1;37
GO;ALEXANIA;14254;7514;0;568;75;1339;326;0;94;58;2450;788;57;0;811;94;0;3;0;3;6;68
MG;ALFENAS;50708;29204;0;1408;157;4770;1421;1;186;170;9929;1442;264;0;971;214;3;17;0;0;11;540
ES;ALFREDO CHAVES;10790;4186;0;593;325;1288;183;0;1;56;2408;1019;50;0;115;484;0;0;0;11;6;65
SP;ALFREDO MARCONDES;2648;1580;0;87;7;341;53;0;0;18;415;41;10;0;75;12;0;0;0;0;2;7
MG;ALFREDO VASCONCELOS;3613;1669;0;191;48;368;129;0;4;20;934;27;34;0;100;70;0;0;0;1;1;17
SC;ALFREDO WAGNER;7998;3725;0;387;47;735;181;0;1;25;2224;327;20;0;204;38;1;1;0;5;3;74
PB;ALGODAO DE JANDAIRA;457;241;0;38;0;53;7;0;1;1;105;3;7;0;0;0;0;0;0;0;0;1
PB;ALHANDRA;6297;2183;0;210;12;525;117;1;933;28;2019;138;57;0;38;14;0;0;0;0;0;22
PE;ALIANCA;8149;3541;0;165;25;354;160;0;198;33;2947;368;140;0;176;20;0;0;0;0;1;21
TO;ALIANCA DO TOCANTINS;2321;709;0;98;18;288;50;0;4;13;763;203;16;0;98;53;0;0;0;0;2;6
BA;ALMADINA;779;390;0;19;1;70;22;0;1;2;234;20;6;0;11;0;0;0;0;0;2;1
TO;ALMAS;1913;574;0;76;15;193;16;0;0;1;779;186;14;0;35;19;0;0;0;1;0;4
PA;ALMEIRIM;4168;1128;0;299;25;317;151;0;1;26;1542;453;105;0;39;41;0;0;0;4;14;23
MG;ALMENARA;15880;5706;0;331;21;1485;415;0;103;108;6226;985;182;0;209;25;1;2;0;0;29;52
RN;ALMINO AFONSO;1587;452;0;26;2;99;13;0;4;7;830;131;2;0;14;3;0;0;0;0;0;4
PR;ALMIRANTE TAMANDARE;64891;40586;0;1852;563;4280;1949;0;34;148;11158;1496;268;0;995;1240;1;5;0;16;8;292
RS;ALMIRANTE TAMANDARE DO SUL;1712;855;0;145;16;288;43;0;0;12;267;21;6;0;27;17;0;0;0;2;0;13
GO;ALOANDIA;1228;531;0;32;2;99;17;0;5;2;366;99;6;0;66;1;0;0;0;0;0;2
MG;ALPERCATA;2111;929;0;95;9;147;73;0;8;5;713;55;8;0;49;16;0;0;0;0;0;4
RS;ALPESTRE;4826;2477;0;203;84;456;89;0;0;21;1149;57;66;0;60;136;0;0;0;0;0;28
MG;ALPINOPOLIS;13219;8019;0;578;48;1338;227;0;7;55;2422;112;116;0;157;60;0;1;0;1;5;73
MT;ALTA FLORESTA;50043;13318;0;1719;308;5760;894;0;237;54;17663;8599;184;0;495;475;10;3;0;1;11;312
RO;ALTA FLORESTA D'OESTE;15771;2947;0;534;58;1931;102;0;11;22;7876;1930;90;0;104;98;0;0;0;1;1;66
SP;ALTAIR;1784;1174;0;74;11;159;41;0;0;8;177;13;37;0;63;19;0;0;0;1;0;7
PA;ALTAMIRA;66116;12191;0;1883;100;5814;753;0;85;190;34735;8810;370;1;395;217;2;2;0;1;151;416
MA;ALTAMIRA DO MARANHAO;1520;217;0;27;0;107;2;0;0;3;973;179;4;0;2;0;0;0;0;0;0;6
PR;ALTAMIRA DO PARANA;2190;1024;0;71;2;298;41;0;2;7;666;39;14;0;17;3;0;0;0;0;0;6
CE;ALTANEIRA;1865;408;0;36;1;110;18;0;1;22;1141;110;8;0;7;1;0;0;0;0;0;2
MG;ALTEROSA;9145;4692;0;321;14;900;168;0;24;42;2645;143;67;0;89;9;0;0;0;1;3;27
PE;ALTINHO;5009;1754;0;113;5;324;101;0;12;74;2072;404;41;0;80;14;0;0;0;0;2;13
SP;ALTINOPOLIS;10683;6771;0;426;166;1095;468;0;12;60;848;110;125;0;261;197;4;0;0;0;3;137
RR;ALTO ALEGRE;2323;537;0;82;1;315;45;0;3;14;1181;121;16;0;2;2;0;0;0;0;2;2
RS;ALTO ALEGRE;1412;731;0;125;11;237;30;0;0;6;213;11;6;0;22;11;0;0;0;3;0;6
SP;ALTO ALEGRE;2660;1353;0;115;50;354;41;0;0;6;446;43;47;0;148;52;0;0;0;0;0;5
MA;ALTO ALEGRE DO MARANHAO;4727;825;0;84;16;228;18;0;8;36;2897;548;3;0;31;20;0;0;0;0;0;13
MA;ALTO ALEGRE DO PINDARE;3851;494;0;58;0;227;13;0;3;17;2878;137;13;0;6;3;0;0;0;0;0;2
RO;ALTO ALEGRE DOS PARECIS;5700;1150;0;162;8;616;27;1;1;28;3143;462;47;0;28;18;0;0;0;0;0;9
MT;ALTO ARAGUAIA;8768;3395;0;289;96;1246;142;0;18;26;2161;986;41;0;192;125;1;0;0;0;4;46
SC;ALTO BELA VISTA;1676;968;0;71;6;213;38;0;0;12;286;24;11;0;33;4;0;0;0;0;0;10
MT;ALTO BOA VISTA;2766;561;0;109;33;374;50;0;3;0;1212;290;9;0;76;44;0;0;0;0;0;5
MG;ALTO CAPARAO;3374;1607;0;92;2;322;72;0;47;30;1094;25;23;0;49;2;0;0;0;0;1;8
RN;ALTO DO RODRIGUES;5348;1856;0;261;8;409;65;1;12;21;2193;365;33;0;73;16;0;1;0;2;1;31
RS;ALTO FELIZ;2513;1338;0;129;17;242;91;0;0;17;476;62;16;1;60;16;0;0;0;30;0;18
MT;ALTO GARCAS;7221;2425;0;347;343;945;167;0;9;22;1417;637;77;0;169;601;0;0;0;0;4;58
GO;ALTO HORIZONTE;2905;1234;0;85;25;362;46;0;12;16;606;274;47;0;144;38;0;0;0;1;0;15
MG;ALTO JEQUITIBA;5301;2594;0;116;0;587;62;0;42;11;1738;39;17;0;77;1;0;1;0;0;0;16
PI;ALTO LONGA;3012;542;0;68;0;221;18;0;3;14;1945;156;35;0;4;0;0;0;0;0;2;4
MT;ALTO PARAGUAI;2428;758;0;59;11;235;32;0;5;12;945;343;8;0;7;8;0;0;0;0;0;5
PR;ALTO PARAISO;1931;948;0;67;7;267;28;0;0;18;428;67;23;0;61;9;0;0;0;0;1;7
RO;ALTO PARAISO;8964;1831;0;349;61;1078;66;0;14;16;4079;1141;89;0;108;106;0;0;0;0;1;25
GO;ALTO PARAISO DE GOIAS;2962;1313;0;93;8;466;110;0;7;12;603;70;19;0;161;18;0;1;0;0;2;79
PR;ALTO PARANA;8713;4499;0;343;67;846;213;0;7;27;1543;732;112;0;201;77;2;0;0;0;2;42
MA;ALTO PARNAIBA;2545;201;0;101;20;278;32;0;0;6;1399;427;10;0;14;45;0;0;0;0;0;12
PR;ALTO PIQUIRI;6060;3064;0;234;74;618;115;0;4;16;1356;293;56;0;109;89;0;0;0;0;1;31
MG;ALTO RIO DOCE;5379;2149;0;151;3;395;89;0;6;27;2332;100;36;0;60;1;0;0;0;0;2;28
ES;ALTO RIO NOVO;3850;1503;0;163;5;412;39;0;0;25;1257;369;24;0;27;15;0;0;0;1;0;10
CE;ALTO SANTO;4811;913;0;162;18;262;21;0;4;14;2836;485;26;0;37;20;0;0;0;0;1;12
MT;ALTO TAQUARI;5151;2028;0;307;149;738;125;0;3;25;882;404;39;0;173;232;0;0;0;0;4;42
PR;ALTONIA;14545;6880;0;566;73;1424;232;0;10;36;3411;1295;70;0;381;101;0;0;0;1;1;64
PI;ALTOS;15893;3831;0;351;52;834;118;0;76;25;8885;1400;82;0;90;98;0;0;0;0;9;42
SP;ALUMINIO;9514;6570;0;273;79;586;315;1;1;65;1265;102;71;0;98;40;0;1;1;10;2;34
AM;ALVARAES;806;18;0;10;0;38;1;0;0;0;521;193;3;0;0;0;0;0;0;0;22;0
MG;ALVARENGA;2185;775;0;51;1;150;26;0;6;7;1114;16;22;0;10;1;1;0;0;0;0;5
SP;ALVARES FLORENCE;2132;1216;0;53;23;254;48;0;1;7;334;61;20;0;77;35;0;0;0;0;1;2
SP;ALVARES MACHADO;16702;9047;0;527;89;1510;435;0;13;34;3757;685;35;0;367;108;0;1;0;2;3;89
SP;ALVARO DE CARVALHO;1522;1007;0;35;2;122;55;0;1;8;231;8;26;0;25;1;0;0;0;0;0;1
SP;ALVINLANDIA;1626;1032;0;48;14;151;52;0;0;7;231;10;16;0;41;12;0;0;0;0;2;10
MG;ALVINOPOLIS;6667;3102;0;259;5;706;103;0;13;21;2306;36;29;0;53;7;1;2;0;0;7;17
RS;ALVORADA;95063;63261;0;1754;323;3665;3606;6;47;228;17010;1595;645;0;2085;398;1;39;1;69;13;317
TO;ALVORADA;4813;1594;0;218;143;570;61;0;22;5;1199;482;20;0;241;235;0;0;0;0;0;23
MG;ALVORADA DE MINAS;1490;626;0;29;0;158;27;0;4;20;563;14;26;0;13;0;0;0;0;4;0;6
PI;ALVORADA DO GURGUEIA;1058;254;0;29;2;81;7;0;1;6;578;78;10;0;7;4;0;0;0;0;1;0
GO;ALVORADA DO NORTE;4375;2133;0;184;32;442;52;1;17;12;935;236;20;0;238;48;4;1;0;1;0;19
PR;ALVORADA DO SUL;6206;3123;0;378;119;723;121;0;41;10;735;447;73;0;162;227;0;0;0;1;2;44
RO;ALVORADA D'OESTE;8937;1853;0;294;27;845;74;0;9;13;4344;1227;75;0;107;41;1;0;0;0;3;24
RR;AMAJARI;854;223;0;41;1;139;15;0;0;8;382;36;4;0;1;1;0;1;0;0;0;2
MS;AMAMBAI;22349;9602;0;931;479;2937;503;0;28;41;4328;1837;104;0;492;786;1;1;0;0;7;272
AP;AMAPA;708;253;0;17;0;48;18;0;3;5;302;52;4;0;3;0;0;0;0;0;2;1
MA;AMAPA DO MARANHAO;896;151;0;22;3;58;5;0;0;3;578;65;4;0;1;4;0;0;0;0;0;2
PR;AMAPORA;2711;1422;0;85;12;232;39;0;0;7;580;215;63;0;33;21;0;0;0;0;0;2
PE;AMARAJI;3893;1398;0;149;8;286;62;0;21;33;1657;145;58;0;48;10;0;0;0;0;1;17
RS;AMARAL FERRADOR;3721;1925;0;166;20;267;78;0;0;22;1044;61;28;0;70;29;0;1;0;3;0;7
GO;AMARALINA;813;309;0;21;0;109;13;0;4;4;267;35;14;0;35;1;0;0;0;0;0;1
PI;AMARANTE;5300;943;0;90;7;343;40;0;42;19;3469;289;29;0;11;5;1;0;0;0;2;10
MA;AMARANTE DO MARANHAO;8661;731;0;153;2;588;35;0;6;12;6292;794;11;0;27;2;0;0;0;0;0;8
BA;AMARGOSA;12878;5392;0;348;15;1167;236;0;447;87;4321;555;105;0;118;16;0;0;0;0;7;64
AM;AMATURA;339;5;0;7;0;16;2;0;0;1;199;106;1;0;2;0;0;0;0;0;0;0
BA;AMELIA RODRIGUES;6929;2822;0;303;99;366;278;0;69;127;1896;633;44;0;145;123;1;0;0;1;6;16
BA;AMERICA DOURADA;2601;1181;0;57;3;196;26;0;0;20;1023;57;19;0;13;0;0;0;0;0;1;5
SP;AMERICANA;189352;118039;0;3466;918;15419;8248;1;408;522;28723;6314;569;0;2594;1497;13;14;0;50;30;2527
GO;AMERICANO DO BRASIL;3170;1348;0;82;7;364;62;0;34;13;853;170;32;0;179;19;0;0;0;0;0;7
SP;AMERICO BRASILIENSE;26921;14903;0;729;506;1597;773;0;50;84;5661;651;231;0;787;789;5;31;0;46;6;72
SP;AMERICO DE CAMPOS;3988;2384;0;148;24;407;87;0;2;16;591;123;35;0;137;32;0;1;0;0;0;1
RS;AMETISTA DO SUL;5618;2722;0;119;18;661;222;1;0;10;1611;71;50;0;51;20;0;1;0;0;1;60
CE;AMONTADA;9893;2080;0;227;22;760;68;0;7;61;5894;568;65;0;61;40;0;0;0;0;1;39
GO;AMORINOPOLIS;1714;686;0;40;21;208;24;0;4;8;528;79;12;0;78;24;0;0;0;0;1;1
PB;AMPARO;397;152;0;15;0;44;6;0;0;11;158;2;6;0;2;0;0;0;0;0;0;1
SP;AMPARO;57465;31147;0;1481;280;4176;2327;0;44;247;13732;2583;157;0;509;283;5;2;0;7;16;469
SE;AMPARO DO SAO FRANCISCO;535;159;0;9;0;26;9;0;4;15;263;35;5;0;7;0;0;0;0;0;0;3
MG;AMPARO DO SERRA;2079;847;0;55;1;142;23;0;12;5;887;13;54;0;28;5;0;0;0;0;3;4
PR;AMPERE;14617;7526;0;588;193;1452;323;0;2;31;3040;851;65;0;144;271;3;1;0;2;3;122
AL;ANADIA;3080;1139;0;51;1;173;98;0;3;33;1248;203;46;0;62;10;0;0;0;0;0;13
BA;ANAGE;3407;1420;0;156;13;316;44;0;4;97;1149;95;56;0;31;20;0;1;0;0;0;5
PR;ANAHY;2048;900;0;121;13;287;31;0;0;6;600;44;11;0;16;12;0;0;0;0;0;7
PA;ANAJAS;352;10;0;0;0;7;2;0;0;1;264;63;1;0;2;0;0;0;0;0;2;0
MA;ANAJATUBA;4099;686;0;48;1;224;29;0;3;6;2712;348;13;0;12;2;0;0;0;0;0;15
SP;ANALANDIA;2853;1730;0;113;61;246;135;0;6;20;346;33;19;0;61;73;1;1;0;0;2;6
AM;ANAMA;215;12;0;1;0;8;0;0;2;1;146;39;5;0;0;0;0;0;0;0;1;0
TO;ANANAS;3181;711;0;80;2;286;37;0;20;1;1457;476;37;0;61;5;0;0;0;0;1;7
PA;ANANINDEUA;157777;72331;0;4545;948;8498;4200;5;640;404;52096;6892;1642;0;2434;1920;9;6;0;5;99;1103
GO;ANAPOLIS;294492;147650;0;10090;3346;24137;8570;5;1057;407;56537;20118;1786;0;10251;5259;1;27;0;12;52;5187
PA;ANAPU;5406;711;0;213;21;687;85;0;0;18;3224;348;26;0;22;31;0;0;0;0;1;19
MA;ANAPURUS;2319;517;0;68;27;263;28;0;0;3;1124;201;27;0;9;38;0;0;0;0;0;14
MS;ANASTACIO;13712;4921;0;520;97;1359;199;0;18;30;4766;1204;51;0;328;157;4;4;0;2;2;50
MS;ANAURILANDIA;4039;2107;0;163;23;580;83;0;5;29;650;136;74;0;113;47;1;1;0;0;0;27
ES;ANCHIETA;13692;6778;0;445;151;1175;410;0;24;116;2557;1349;84;0;274;137;1;3;0;12;6;170
SC;ANCHIETA;4604;2498;0;223;45;580;133;0;0;17;810;116;24;0;58;53;0;4;0;0;1;42
BA;ANDARAI;1893;688;0;60;1;194;38;0;0;26;789;37;33;0;14;1;0;1;0;0;1;10
PR;ANDIRA;14674;7443;0;586;277;1431;339;0;14;26;2660;1054;105;0;223;391;3;0;0;3;14;105
BA;ANDORINHA;3505;1331;0;99;7;421;47;0;2;22;1424;55;56;0;24;8;0;0;0;0;0;9
MG;ANDRADAS;29515;16019;0;1203;92;3171;1040;0;33;134;6319;758;120;0;242;98;2;5;0;0;1;278
